phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
streams,16,44.07723895399249,10000,11108.132638001876,3796.152385541012,1704.2598420230206,145.32095277862058,95969280,15384576,192,22562722,0,0
streams,17,46.810091822990216,10000,10354.517579545325,3691.415018638491,1750.06773401401,133.1546430091229,94916608,14331904,205,23972510,0,0
streams,18,49.53518037998583,10000,9948.303075993332,3705.279988814431,1699.1636550228577,129.12964424305522,90476544,9891840,219,25383472,0,0
streams,19,52.22983734399895,10000,11098.59371007225,3746.341226690104,1751.3730479986407,144.6265081420094,93171712,12587008,235,26793991,0,0
streams,20,54.96544840399292,10000,11009.15742019417,3686.7718911329384,1814.6700370125473,142.21403284194326,91131904,10547200,251,28203990,0,0
streams,21,57.74991170497378,10000,10277.687684330253,3633.9734530999995,1734.6849240129814,132.00134261380416,94277632,13692928,268,29613473,0,0
streams,22,60.45349795499351,10000,10340.924254345919,3732.8659948319096,1695.5730100162327,135.00948757259277,93712384,13127680,282,31023423,0,0
streams,23,63.21496617898811,10000,10207.529236274337,3663.231357670533,1737.1429759950843,134.00254960260898,93519872,12935168,296,32433082,0,0
streams,24,66.00443538898253,10000,9780.30230150914,3615.2348642040024,1746.698931005085,129.4028754860627,92291072,11706368,312,33842851,0,0
streams,25,69.08345580199966,10000,10784.303866161514,3272.47451822886,2146.935052005574,140.0173679037572,94003200,13418496,325,35253806,0,0
streams,26,71.78944975798368,10000,10496.41213015832,3729.6512076131235,1725.3730979864486,136.26749562318713,91983872,11399168,336,36664021,0,0
streams,27,74.50364543698379,10000,10368.595320617573,3717.0556359967254,1748.374856018927,135.0088947772988,89972736,9388032,350,38074593,0,0
streams,28,77.207139051985,10000,10703.643181267433,3745.2703200087312,1720.1889469870366,137.07709533846787,92028928,11444224,369,39485491,0,0
streams,29,79.99868557899026,10000,10389.503234804144,3612.0851557249152,1790.4675109894015,136.8549836279097,92303360,11718656,385,40895640,0,0
streams,30,82.72430785899633,10000,10393.76006448802,3701.7472233298286,1770.626646000892,134.66541927581034,91525120,10940416,405,42304933,0,0
streams,31,85.49284577698563,10000,10012.790107638579,3643.3213136043973,1728.8761480012909,130.4114003213453,93036544,12451840,422,43713988,0,0
streams,32,88.15273775497917,10000,11217.049714493542,3792.608899514987,1770.8970409876201,147.5660783378604,97763328,17178624,435,45125618,0,0
streams,33,90.85854617698351,10000,10725.396880677821,3728.295335382037,1735.1749230001587,140.08408947072294,95580160,14995456,447,46535296,0,0
streams,34,93.6358845809882,10000,9937.00337322934,3631.4473894964576,1772.3141460155603,127.67884568749244,98521088,17936384,461,47944658,0,0
streams,35,96.29483746297774,10000,10741.91430918766,3793.729851694307,1666.8826389941387,138.7782963692921,93466624,12881920,474,49354774,0,0
streams,36,98.9921568360005,10000,11017.380889957218,3740.3834078643417,1743.7938040238805,144.4616402973854,96628736,16044032,492,50765133,0,0
streams,37,101.77763014598168,10000,10215.082734699712,3621.5159516832136,1763.5285050200764,132.98642401567912,94527488,13942784,511,52176601,0,0
streams,38,104.54048730898649,10000,9966.807630091034,3649.709374670311,1726.2363619811367,131.91126988299598,95453184,14868480,528,53586852,0,0
streams,39,107.23004174197558,10000,10958.746123556395,3751.5692096866624,1771.0592780204024,142.14440601752685,94863360,14278656,544,54996820,0,0
streams,40,109.94748861799599,10000,10371.312689178805,3714.000875664588,1733.5770280042198,135.05724805112416,98664448,18079744,559,56405942,0,0
streams,41,112.73722530298983,10000,10057.23315946734,3615.204083497672,1758.2687730027828,130.50571065209138,96866304,16281600,572,57815224,0,0
streams,42,115.50499860098353,10000,10551.960719719778,3646.4846082171707,1762.0142649975605,136.40607583526358,96428032,15843328,588,59224885,0,0
streams,43,118.1881813579821,10000,10748.01455405376,3761.0673567440717,1766.1874240147881,139.93461791588442,95649792,15065088,606,60635784,0,0
streams,44,120.96445887399022,10000,10476.928474932547,3640.365331123756,1778.5221050144173,134.69691004334453,98041856,17457152,622,62046385,0,0
streams,45,123.68932375797885,10000,10289.919659601288,3701.9835002610375,1740.1171540259384,133.87821579394875,99553280,18968576,635,63456427,0,0
streams,46,126.37882706697565,10000,10888.829225065989,3751.365733470725,1727.93466199073,141.45406108662283,96378880,15794176,647,64865706,0,0
