phase,iteration,elapsed_seconds,events,runtime_events_per_second,end_to_end_events_per_second,latency_p95_ms,cpu_percent,rss_bytes,rss_delta_bytes,gc_runs,allocated_objects,failures,ordering_failures
pubsub,22,62.98164280000492,10000,11210.716156734927,3669.3415270945306,1802.6825819979422,140.59497831141582,110735360,33161216,240,26334126,0,0
pubsub,23,65.76181620699936,10000,11221.755525999833,3657.260670584033,1796.9927999947686,143.98477713820375,110555136,32980992,246,27531516,0,0
pubsub,24,68.58139627799392,10000,10538.16192576875,3576.4239863377456,1813.588927994715,137.52810306349187,112750592,35176448,254,28728447,0,0
pubsub,25,71.38159556899336,10000,10394.489341417335,3610.266279086731,1791.7694470088463,137.14172693682053,110436352,32862208,264,29926235,0,0
pubsub,26,74.14440128600108,10000,11701.153325661571,3650.589359174408,1821.757329016691,144.9353444636095,113582080,36007936,270,31123089,0,0
pubsub,27,76.75882215000456,10000,12686.909272379839,3859.7981747826743,1764.9336079775821,155.2123836252948,115085312,37511168,275,32320869,0,0
pubsub,28,79.56727290799608,10000,11306.559937045742,3598.7917998087414,1842.192887008423,139.9127822846049,112443392,34869248,281,33518763,0,0
pubsub,29,82.32072099199286,10000,11349.708272377084,3662.6415833872306,1806.1794849927537,142.29046351460198,110481408,32907264,287,34716885,0,0
pubsub,30,84.9998951430025,10000,11470.376717360483,3765.1015763118185,1742.0462399895769,141.59944891918045,109240320,31666176,293,35913507,0,0
pubsub,31,87.74955778301228,10000,11148.111892658932,3667.552270137215,1791.3609630195424,136.77795501972025,107786240,30212096,299,37109904,0,0
pubsub,32,90.50719614801346,10000,10753.587623016585,3657.6536050608047,1805.9239290014375,135.12501695780907,106868736,29294592,306,38305946,0,0
pubsub,33,93.29810582101345,10000,11045.318310183793,3612.8034690159116,1816.9088340073358,139.4186913679167,101740544,24166400,314,39502950,0,0
pubsub,34,96.0742271199997,10000,11480.07009128909,3664.9005994200675,1812.5694959890097,151.10911499743042,100691968,23117824,324,40699165,0,0
pubsub,35,99.12802738900064,10000,10303.672844481676,3299.3724244674568,2035.9226639848202,132.7474345202023,99713024,22138880,335,41896452,0,0
pubsub,36,102.0518266739964,10000,10380.859017972623,3459.3138825687824,1923.6979660054203,137.8896010079742,109215744,31641600,358,43093827,0,0
pubsub,37,104.85962035501143,10000,10729.558462891386,3594.2746010479127,1798.0924780131318,139.27737428074033,105455616,27881472,365,44291400,0,0
pubsub,38,107.59764486399945,10000,11010.783639836724,3685.0175719007157,1802.4630029976834,142.68313574491935,108158976,30584832,383,45486628,0,0
pubsub,39,110.46991998501471,10000,10638.698272231068,3511.08912666766,1862.8522870130837,141.00704473151333,113078272,35504128,394,46684124,0,0
pubsub,40,113.57196149899391,10000,7968.726674932105,3248.271909855903,1797.7525549940765,109.57335657515392,113934336,36360192,403,47878087,0,0
pubsub,41,116.35939372799476,10000,11099.56507219299,3617.7453990623726,1882.8309639939107,139.7673754483197,113954816,36380672,412,49075600,0,0
pubsub,42,119.12040172301931,10000,11064.70484150127,3652.1955081332626,1778.546697983984,137.36730028903958,110968832,33394688,418,50270944,0,0
pubsub,43,121.86753631700412,10000,11072.30937159925,3672.0552361100904,1766.8814260105137,140.31971691834516,108933120,31358976,424,51466679,0,0
pubsub,44,124.72777112500626,10000,10667.787313300027,3524.854429431536,1851.551225001458,138.43628528769366,111669248,34095104,434,52664221,0,0
